cv_id,gt_overall,skill_score,skill_coverage,experience_score,experience_coverage,education_score,education_coverage,semantic_score,semantic_coverage,mdms_equal_weight,mdms_0_to_3,rule_based_score,overall_coverage,absolute_error_mdms,absolute_error_rule,mdms_rank,rule_based_rank,gt_rank
cv_012,0,0.0,1.0,0.4694874625716491,1.0,0.6,1.0,0.35719690261470116,1.0,0.3566710912965876,1.0700132738897628,0.42,1.0,1.0700132738897628,1.26,14,5,10
cv_004,1,0.11339943833924926,1.0,0.49937132426576664,1.0,0.6,1.0,0.422575399908919,1.0,0.40883654062848374,1.2265096218854512,0.42,1.0,0.2265096218854512,0.26,8,6,6
cv_018,2,0.16469411150874794,1.0,0.5046549289265293,1.0,0.6,1.0,0.6100623617366132,1.0,0.4698528505429726,1.4095585516289177,0.42,1.0,0.5904414483710823,0.74,6,7,3
cv_029,2,0.21298314956495018,1.0,0.627681437417859,1.0,1.0,1.0,0.6301566060615205,1.0,0.6177052982610824,1.8531158947832473,0.5,1.0,0.14688410521675266,0.5,1,1,4
cv_005,0,0.11339943928528978,1.0,0.5076662068171027,1.0,0.6,1.0,0.39153824870848225,1.0,0.4031509737027187,1.2094529211081562,0.42,1.0,1.2094529211081562,1.26,9,8,11
cv_014,0,0.05129467353158834,1.0,0.41273860131070433,1.0,0.6,1.0,0.3838966288364497,1.0,0.3619824759196856,1.0859474277590566,0.42,1.0,1.0859474277590566,1.26,13,9,12
cv_003,1,0.11339944191090037,1.0,0.5284384631545742,1.0,0.0,1.0,0.5617067148302183,1.0,0.30088615497392324,0.9026584649217697,0.3,1.0,0.09734153507823029,0.10000000000000009,18,18,7
cv_001,0,0.0,1.0,0.49747815116482985,1.0,0.6,1.0,0.3652485392162237,1.0,0.3656816725952634,1.0970450177857902,0.42,1.0,1.0970450177857902,1.26,12,10,13
cv_013,1,0.16469411150874794,1.0,0.5357406175719855,1.0,0.6,1.0,0.3991316884878058,1.0,0.4248916043921348,1.2746748131764045,0.42,1.0,0.2746748131764045,0.26,7,11,8
cv_025,0,0.0,1.0,0.43228605377158036,1.0,0.6,1.0,0.2890652201293912,1.0,0.3303378184752429,0.9910134554257287,0.42,1.0,0.9910134554257287,1.26,15,12,14
cv_006,0,0.0,1.0,0.41917690206857194,1.0,0.6,1.0,0.2815376028531439,1.0,0.3251786262304289,0.9755358786912868,0.42,1.0,0.9755358786912868,1.26,17,13,15
cv_023,0,0.16469411355197894,1.0,0.4582324652689623,1.0,0.6,1.0,0.33585923266093604,1.0,0.3896964528704693,1.1690893586114077,0.42,1.0,1.1690893586114077,1.26,11,14,16
cv_032,2,0.16469411150874794,1.0,0.49534656555989776,1.0,1.0,1.0,0.4711499540539402,1.0,0.5327976577806465,1.5983929733419395,0.5,1.0,0.4016070266580605,0.5,3,2,5
cv_024,3,0.2124330489485423,1.0,0.5336712683275664,1.0,1.0,1.0,0.6145311743519849,1.0,0.5901588729070234,1.7704766187210703,0.5,1.0,1.2295233812789297,1.5,2,3,1
cv_010,1,0.11339944191090037,1.0,0.463141227473714,1.0,1.0,1.0,0.3317567739105191,1.0,0.47707436082378335,1.43122308247135,0.5,1.0,0.4312230824713501,0.5,4,4,9
cv_020,3,0.16469411150874794,1.0,0.5242119335709,1.0,0.6,1.0,0.5973777564225745,1.0,0.47157095037555563,1.414712851126667,0.42,1.0,1.585287148873333,1.74,5,15,2
cv_007,0,0.0,1.0,0.45442959783153125,1.0,0.6,1.0,0.26385831855563013,1.0,0.32957197909679037,0.9887159372903711,0.42,1.0,0.9887159372903711,1.26,16,16,17
cv_002,0,0.05129467338184522,1.0,0.5056515641045424,1.0,0.6,1.0,0.4349119094798333,1.0,0.39796453674155524,1.1938936102246658,0.42,1.0,1.1938936102246658,1.26,10,17,18
