cv_id,gt_overall,skill_score,experience_score,education_score,semantic_score,mdms_equal_weight,mdms_gridsearch,mdms_equal_rank,mdms_gridsearch_rank,mdms_gridsearch_0_to_3,absolute_error_equal,absolute_error_gridsearch
cv_012,0,0.0,0.4694874625716491,0.6,0.35719690261470116,0.3566710912965876,0.26105656329874016,14,15,0.7831696898962205,1.0700132738897628,0.7831696898962205
cv_004,1,0.11339943833924926,0.49937132426576664,0.6,0.422575399908919,0.40883654062848374,0.33200666016152874,8,8,0.9960199804845862,0.2265096218854512,0.003980019515413824
cv_018,2,0.16469411150874794,0.5046549289265293,0.6,0.6100623617366132,0.4698528505429726,0.409827338909789,6,4,1.229482016729367,0.5904414483710823,0.770517983270633
cv_029,2,0.21298314956495018,0.627681437417859,1.0,0.6301566060615205,0.6177052982610824,0.499776529128008,1,1,1.499329587384024,0.14688410521675266,0.500670412615976
cv_005,0,0.11339943928528978,0.5076662068171027,0.6,0.39153824870848225,0.4031509737027187,0.3243544916900811,9,9,0.9730634750702434,1.2094529211081562,0.9730634750702434
cv_014,0,0.05129467353158834,0.41273860131070433,0.6,0.3838966288364497,0.3619824759196856,0.2782345783257111,13,13,0.8347037349771332,1.0859474277590566,0.8347037349771332
cv_003,1,0.11339944191090037,0.5284384631545742,0.0,0.5617067148302183,0.30088615497392324,0.31955948384434046,18,10,0.9586784515330213,0.09734153507823029,0.041321548466978664
cv_001,0,0.0,0.49747815116482985,0.6,0.3652485392162237,0.3656816725952634,0.2690701919978331,12,14,0.8072105759934993,1.0970450177857902,0.8072105759934993
cv_013,1,0.16469411150874794,0.5357406175719855,0.6,0.3991316884878058,0.4248916043921348,0.352765274664238,7,6,1.058295823992714,0.2746748131764045,0.058295823992714046
cv_025,0,0.0,0.43228605377158036,0.6,0.2890652201293912,0.3303378184752429,0.23317677679313342,15,16,0.6995303303794003,0.9910134554257287,0.6995303303794003
cv_006,0,0.0,0.41917690206857194,0.6,0.2815376028531439,0.3251786262304289,0.22829666126965756,17,18,0.6848899838089727,0.9755358786912868,0.6848899838089727
cv_023,0,0.16469411355197894,0.4582324652689623,0.6,0.33585923266093604,0.3896964528704693,0.31828190827286484,11,11,0.9548457248185945,1.1690893586114077,0.9548457248185945
cv_032,2,0.16469411150874794,0.49534656555989776,1.0,0.4711499540539402,0.5327976577806465,0.4062919439316608,3,5,1.2188758317949824,0.4016070266580605,0.7811241682050176
cv_024,3,0.2124330489485423,0.5336712683275664,1.0,0.6145311743519849,0.5901588729070234,0.4760668255505257,2,2,1.4282004766515772,1.2295233812789297,1.5717995233484228
cv_010,1,0.11339944191090037,0.463141227473714,1.0,0.3317567739105191,0.47707436082378335,0.3375150544322587,4,7,1.0125451632967761,0.4312230824713501,0.01254516329677613
cv_020,3,0.16469411150874794,0.5242119335709,0.6,0.5973777564225745,0.47157095037555563,0.40993335824445154,5,3,1.2298000747333546,1.585287148873333,1.7701999252666454
cv_007,0,0.0,0.45442959783153125,0.6,0.26385831855563013,0.32957197909679037,0.2300434151329953,16,17,0.6901302453989859,0.9887159372903711,0.6901302453989859
cv_002,0,0.05129467338184522,0.5056515641045424,0.6,0.4349119094798333,0.39796453674155524,0.3121217550175966,10,12,0.9363652650527898,1.1938936102246658,0.9363652650527898
