removed,experience,education,semantic,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3,skill,w_skill,w_experience,w_education
skill,0.5,0.1,0.4,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.9189675082465493,,,,
skill,0.1,0.2,0.7,1.0,1.0,1.0,0.851826437108253,0.860776975702246,0.860776975702246,0.8676602244517513,0.8495699748260406,,,,
skill,0.4,0.1,0.5,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.8922463886464302,,,,
skill,0.6,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.9456886278466683,,,,
skill,0.0,0.2,0.8,1.0,1.0,1.0,0.851826437108253,0.8594052411877203,0.8594052411877203,0.8531992207108888,0.8229313608473771,,,,
skill,0.7,0.1,0.2,1.0,1.0,1.0,0.8698687319194839,0.8593535250036998,0.8760816054532009,0.8443001414857427,0.9724097474467873,,,,
skill,0.6,0.0,0.4,0.8,1.0,1.0,0.8195270855535455,0.8574670263058242,0.8732179983975196,0.8365134471637397,0.9206053833060953,,,,
skill,0.5,0.0,0.5,0.8,1.0,1.0,0.8195270855535455,0.8563954631661327,0.8717451484600889,0.8075914396820146,0.8938842637059763,,,,
skill,0.4,0.0,0.6,0.8,1.0,1.0,0.8195270855535455,0.8563954631661327,0.8713878484462597,0.7931304359411522,0.8671631441058573,,,,
skill,0.7,0.0,0.3,0.8,1.0,1.0,0.8138242452848412,0.849467376820802,0.8652183489124974,0.8209400585197341,0.9473265029062143,,,,
skill,0.8,0.0,0.2,0.8,1.0,1.0,0.8138242452848412,0.8455351416866129,0.8612861137783082,0.784231356716006,0.9740476225063335,,,,
skill,0.5,0.2,0.3,1.0,1.0,1.0,0.851826437108253,0.8445134538535746,0.8595058391337016,0.8098162094883012,0.9561244307406952,,,,
skill,0.6,0.2,0.2,1.0,1.0,1.0,0.851826437108253,0.8445134538535746,0.8445134538535746,0.7808942020065763,0.9827630447193589,,,,
skill,0.1,0.1,0.8,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.860169971163384,0.8531992207108888,0.812158617154185,,,,
skill,0.2,0.1,0.7,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.860169971163384,0.8531992207108888,0.8388041494461922,,,,
skill,0.3,0.1,0.6,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.860169971163384,0.8531992207108888,0.8655252690463112,,,,
skill,0.2,0.2,0.6,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.860169971163384,0.8531992207108888,0.8762085888047042,,,,
skill,0.0,0.1,0.9,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.8596479488281423,0.8387382169700262,0.7855200031755214,,,,
skill,0.4,0.2,0.4,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.85843427599401,0.7953552057474387,0.9294858167620317,,,,
skill,0.3,0.3,0.4,1.0,1.0,1.0,0.851826437108253,0.843441890713883,0.843441890713883,0.7519721945248512,0.9402585604552236,,,,
skill,0.0,0.0,1.0,0.8,1.0,1.0,0.8014847907423146,0.8397662831612014,0.8547586684413284,0.7875685114254358,0.7608041855129859,,,,
skill,0.1,0.0,0.9,0.8,1.0,1.0,0.8014847907423146,0.8397662831612014,0.8547586684413284,0.7875685114254358,0.7869997853055002,,,,
skill,0.2,0.0,0.8,0.8,1.0,1.0,0.8014847907423146,0.8397662831612014,0.8547586684413284,0.7875685114254358,0.8137209049056193,,,,
skill,0.3,0.0,0.7,0.8,1.0,1.0,0.8014847907423146,0.8397662831612014,0.8547586684413284,0.7875685114254358,0.8404420245057382,,,,
skill,0.8,0.1,0.1,0.8,1.0,1.0,0.8014847907423146,0.8381830842490867,0.8543891423633461,0.8020295151662985,0.9991308670469065,,,,
skill,0.3,0.2,0.5,1.0,1.0,1.0,0.8404207565708445,0.8329295298019412,0.8486805018936366,0.8187152887134475,0.9028472027833679,,,,
skill,0.0,0.3,0.7,1.0,1.0,1.0,0.8404207565708445,0.8329295298019412,0.8479219150820683,0.7897932812317223,0.8603427185192326,,,,
skill,0.1,0.3,0.6,1.0,1.0,1.0,0.8404207565708445,0.8329295298019412,0.8329295298019412,0.7608712737499974,0.8869813324978962,,,,
skill,0.2,0.3,0.5,1.0,1.0,1.0,0.8404207565708445,0.8329295298019412,0.8329295298019412,0.7464102700091347,0.91361994647656,,,,
skill,0.4,0.3,0.3,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8250693049329805,0.7452978851059916,0.9668971744338872,,,,
skill,0.5,0.3,0.2,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8250693049329805,0.7452978851059916,0.9935357884125509,,,,
skill,0.4,0.4,0.2,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8250693049329805,0.7452978851059916,1.0160813839302565,,,,
skill,0.3,0.5,0.2,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8250693049329805,0.7452978851059916,1.0612905242099375,,,,
skill,0.3,0.6,0.1,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8250693049329805,0.7452978851059916,1.1350537739076692,,,,
skill,0.2,0.7,0.1,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8250693049329805,0.7452978851059916,1.1802629141873504,,,,
skill,0.6,0.3,0.1,0.8,1.0,1.0,0.7843762699362018,0.8243517592178661,0.8243517592178661,0.730836881365129,1.0201744023912145,,,,
skill,0.5,0.4,0.1,0.8,1.0,1.0,0.7843762699362018,0.8243517592178661,0.8243517592178661,0.730836881365129,1.0446354933483069,,,,
skill,0.4,0.5,0.1,0.8,1.0,1.0,0.7843762699362018,0.8243517592178661,0.8243517592178661,0.730836881365129,1.089844633627988,,,,
