w_skill,w_experience,w_education,w_semantic,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3,objective_rank
0.4,0.2,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,0.7152424218541343,1
0.3,0.3,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,0.7690788426870684,2
0.2,0.3,0.1,0.4,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,0.8012276514734827,3
0.4,0.0,0.1,0.5,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743389,0.6746970321991914,4
0.5,0.0,0.1,0.4,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743389,0.6828908281950326,5
0.4,0.1,0.1,0.4,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743389,0.6929577994291867,6
0.3,0.1,0.1,0.5,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743389,0.7156366034868304,7
0.3,0.2,0.1,0.4,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743389,0.7423577230869494,8
0.3,0.0,0.1,0.6,1.0,1.0,1.0,0.851826437108253,0.862714192038938,0.862714192038938,0.8965822319334764,0.6890019626912952,9
0.2,0.2,0.1,0.5,1.0,1.0,1.0,0.851826437108253,0.862714192038938,0.862714192038938,0.8965822319334764,0.7745065318733637,10
0.2,0.4,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.862008287055506,0.8787363675050072,0.8876831527083301,0.8279487710736018,11
0.6,0.2,0.0,0.2,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.714836529257385,12
0.1,0.4,0.1,0.4,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.860097579860016,13
0.1,0.6,0.1,0.2,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.913539819060254,14
0.0,0.5,0.1,0.4,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.9189675082465493,15
0.0,0.1,0.2,0.7,1.0,1.0,1.0,0.851826437108253,0.860776975702246,0.860776975702246,0.8676602244517513,0.8495699748260407,16
0.8,0.1,0.0,0.1,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.7148870368265676,17
0.1,0.5,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.886818699460135,18
0.0,0.4,0.1,0.5,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.8922463886464304,19
0.0,0.6,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.9456886278466683,20
